valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
0.524344569,1.5138,0.992509363,2.4818,0,559,559,478,1,748_e519892faa7c772a0afaf9eeff36cf0e411574027ab3d9aa4947a048_circblurint.jpg,-1.813112,3.307432,circularblurringint,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-3.810861423,5.1928,-3.267790262,6.113,0,560,560,538,1,986_a77edb21e78bc3a6aa7406517824596b3496ad6c657b6befb84cf370_circblurint.jpg,-3.906316,-0.60496,circularblurringint,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-2.397003745,3.7329,-2.940074906,4.3728,0,561,561,105,1,284_cdcbd54fc995081ac95c8b2c37a19cebb341f61a8eb268cee1623492_blur.jpg,-1.015872,2.095236,blurring,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-0.402621723,5.0065,-1.217228464,5.9368,0,562,562,236,1,410_9633c4ff6e8888fcfca59a60ca86e9606d3e0736500a254101bdf295_edges.jpg,-0.3677892,2.981028,edges,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
0.365168539,1.4725,-0.468164794,2.4966,0,563,563,17,1,39_2fafccaa4dc69045a05845f59c6b3cd2edcf7e0e0c108b24e553afe0_circblurext.jpg,2.022756,0.463548,circularblurringext,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.647940075,1.2394,0.702247191,2.2552,0,564,564,499,1,854_081a8409e4d6d10923b2dedcc16a3fca405fcd602e55a20d84cac69d_bw.jpg,3.088264,1.21538,blackwhite,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.900749064,1.3921,0.95505618,2.3368,0,565,565,328,1,468_8b69b13120daebadd8a4a3166e1419f2404395cba231307a4efa9fde_circblurint.jpg,2.031744,0.2539684,circularblurringint,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-0.580524345,1.4442,-0.346441948,2.38,0,566,566,429,1,694_7a14b8ab7c564dcb0f628c4de7f6cb54e4c5f6601f774bf167641c37_blur.jpg,1.819588,0.116144,blurring,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-1.132958801,3.3534,-2.172284644,5.206,0,567,567,84,1,243_beddb302dcb21071d88c8d2cab07002050d36b3001ef28f89389fa56_orig.jpg,-0.3450656,-0.2070392,original,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
2.724719101,1.9976,1.666666667,3.4295,0,568,568,518,1,860_05c4e22518a30d3d2add458a8fc6488f87b9b02dd8e385ded939f025_edges.jpg,1.955092,0.3097172,edges,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-0.093632959,6.0648,0.140449438,4.4088,0,569,569,489,1,818_877aae033c31e3bbca4486321a5307f87cf53c576c546462d3daf194_blur.jpg,-1.277584,0.619436,blurring,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-0.112359551,1.5534,-0.411985019,2.5437,0,570,570,261,1,416_8a1f874e0057d67a4e6955865ba88b2d8ce2c8b4469589307687a723_blur.jpg,-1.753336,3.088264,blurring,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
0.926966292,1.8263,0.140449438,2.722,0,571,571,65,1,156_08e8cf8f04630e9213e610580de73f51572d1d589878648700bae4dc_circblurext.jpg,2.222224,0.0,circularblurringext,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
2.116104869,2.1896,1.123595506,3.8458,0,572,572,8,1,28_6318543b74eeb646a1735477ebc023fdc9ac3849bc0db1957c272a26_edges.jpg,2.811244,-0.74584,edges,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.310861423,1.4369,1.076779026,2.2591,0,573,573,276,1,440_9bf7e8609729bf888835168834da6c3ff30b75d0d4f36e2ee6918bcc_orig.jpg,-2.284164,2.710028,original,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
-3.754681648,1.6541,-2.921348315,2.6541,0,574,574,571,1,1039_d64da8480fc6e94dcdc513237d600570ae0b9fe48795ac6a8b2d29a7_bw.jpg,-2.507936,-1.142856,blackwhite,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
0.880149813,1.9779,1.001872659,2.93,0,575,575,113,1,293_3dfdfafc0c6a54b2da7453750ac281f7718c0b3337b0a74c4563d6bd_circblurext.jpg,-2.574524,2.632596,circularblurringext,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
1.357677903,1.5288,1.020599251,2.2246,0,576,576,343,1,494_5c6c3b85a2734a43c24bfe337d42ffcc82b7347227804d01c784cef4_bw.jpg,0.03871468,0.0,blackwhite,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
2.368913858,1.3962,1.882022472,2.3565,0,577,577,282,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_orig.jpg,-3.016216,1.69404,original,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
2.116104869,1.2303,1.601123596,1.998,0,578,578,348,1,498_305b74cdc4784d9d25e72724302e5402def70177ea31ae7e25fab66b_orig.jpg,3.04762,-0.444444,original,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
2.172284644,1.3768,2.02247191,2.7448,0,579,579,215,1,394_8e3a0cb945144d53bd1ace04b6256237ed9dcbbd9cb83f8a4886b0e6_circblurext.jpg,-2.593884,2.651956,circularblurringext,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
2.144194757,1.4206,1.891385768,2.5646,0,580,580,569,1,1037_e2eb929a6de79a63ce6cfe5321fcb74a203b134e4094932d90b01d99_circblurext.jpg,2.651956,0.0,circularblurringext,keaz01,2022-06-14_12h06.06.244,ratings,2022.1.1,Win32,60.85316132
