valence_slider.response,valence_slider.rt,arousal_slider.response,arousal_slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,img_name,vm,am,manipulation,participant,date,expName,psychopyVersion,OS,frameRate
-1.104868914,1.2284,-0.664794007,1.7961,0,189,189,384,1,646_577760d718dab44c6f04d77408c5644a120065ce07a9503957d0850a_orig.jpg,-2.690668,2.61324,original,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
1.947565543,1.7608,-2.893258427,2.6649,0,190,190,6,1,28_6318543b74eeb646a1735477ebc023fdc9ac3849bc0db1957c272a26_orig.jpg,2.811244,-0.74584,original,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-2.81835206,2.2584,0.47752809,3.2423,0,191,191,222,1,403_57ac47f43882fc031a6067b1a388c0b2cbe8708dcbd2ff1019932eff_orig.jpg,-3.333332,-1.396824,original,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
1.376404494,1.482,-2.275280899,2.2658,0,192,192,121,1,347_27f0e47c2722605b950ccf9fa900f78271e4c3c874064ab5dacac160_bw.jpg,1.838948,0.3097172,blackwhite,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-3.08988764,2.1552,0.814606742,3.4271,0,193,193,137,1,349_8809a67686d34844c915d7700e2ea72ad1c02ae232ae0d3cc0e458d4_circblurext.jpg,-3.619048,-0.2857144,circularblurringext,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
1.788389513,1.6566,-2.425093633,2.4563,0,194,194,282,1,440_dc6413e2b65369ee2587f4d85621742fe4ca87392d0a8ad2ea7d94e3_orig.jpg,-3.016216,1.69404,original,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
1.451310861,2.1101,-2.537453184,3.1368,0,195,195,371,1,616_05a637f5281666f53d4e2ef69351485fc21d629b37ee2006b2076eb6_circblurext.jpg,-2.380952,-0.832364,circularblurringext,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-3.183520599,1.1958,0.421348315,1.9959,0,196,196,353,1,498_305b74cdc4784d9d25e72724302e5402def70177ea31ae7e25fab66b_circblurext.jpg,3.04762,-0.444444,circularblurringext,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
-3.792134831,1.9758,-0.187265918,2.5693,0,197,197,361,1,508_a7a9519cdc7aad6844030f4e6cd96cffd1b9c49b71e20ea52789bda2_bw.jpg,-3.000388,-1.29694,blackwhite,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
0.093632959,2.0542,-2.490636704,2.8587,0,198,198,331,1,482_a1cd28915c5044c018195ab0fff10dcc95e385246b045a7cd4463ff7_bw.jpg,-3.361852,-1.555612,blackwhite,,2022-06-10_11h55.44.376,ratings,2022.1.1,Win32,60.0348202
