gender,blackwhite,blurring,circularblurringext,circularblurringint,edges,original
f,0.90552434452,-1.92340823973,-1.97574906368,-0.76273408241,0.60112359555,1.0029026217099999
m,-0.020692703830000013,-0.16207845025,-0.13773387381,-0.17003728742,-0.10739670083,-0.11264018791999998
f,-0.48661048688999997,-1.5396067415999999,-1.5054307115899999,-1.7496254682099999,-2.6970037453100004,-0.34044943818999995
f,-0.09747159295000002,-0.08913827105000001,-0.33398846404,-0.24971874964000002,-0.38632926515,-0.19709704973
m,1.01378277155,-0.53745318357,0.20702247192,0.50074906366,1.27078651686,0.9023595505900001
f,-0.47863786668,-0.2599239969,-0.14226726113000002,-1.08413641067,-0.29334364253,-0.37915146327000004
m,-0.13917456599,-0.16669716602,-0.044211836180000005,-0.13175712769999998,0.14532323201,-0.12102136170999998
m,-0.18932584275,-0.30243445694000004,-0.40458801496,-0.27996254684,-0.39634831460000003,-0.21535580523
f,-0.04448319542,0.23715597087999998,0.23557668585000002,-0.08449174988000001,0.40271768636,-0.020793919700000007
m,-0.19414791721,-0.17521241151000003,-0.08600164408000001,-0.20385557024,-0.43350744355000004,-0.12484484039
f,-0.09859550556,-0.25571161041,-0.2888576779,-0.29026217229,-0.41460674157,-0.14344569283999997
f,0.06404494377,0.18089887643000002,0.17016229719,0.10724094879000003,0.15543071158000002,0.18239700373
f,0.16092384517,0.36529338326,0.22559300874,0.0895131086,0.23620474409,0.16042446946
