n200,valence
-8.528584765906018,-1.956928839
-13.104091444082586,1.900749064
-8.445147629299452,-1.086142322
-14.840189154521346,-2.02247191
-16.439122225949344,-1.048689139
-5.150755962593428,-0.065543071
-8.263555173492703,0.046816479
-11.05297501051585,-0.95505618
-9.71236696479489,-1.123595506
-14.231700852278665,3.951310861
-16.4063726508701,-1.039325843
-10.696326339733524,-1.048689139
-10.07517026271959,-1.039325843
-9.91099399553737,-0.018726592
-3.9518431991478855,-1.020599251
-7.743061027393112,2.106741573
-1.6506938075404194,-2.874531835
-3.980178869469557,-1.956928839
-12.561418701628643,-1.928838951
-4.295597354509116,0.9082397
-13.087520755700826,-1.956928839
-5.899386815688016,1.985018727
-13.419801690678256,-2.106741573
-5.981225026125453,-3.117977528
-6.153968539509912,-1.132958801
-8.121724129550925,-0.945692884
-10.070144193552668,-3.033707865
-10.556451339052169,-1.076779026
-10.912558233399231,-2.106741573
-18.840581349003557,0.898876404
-7.331934050365117,2.846441948
-6.027578978783809,-0.102996255
-11.774415902518907,-2.013108614
-0.08579437637161652,-2.996254682
-11.193393709654675,-2.059925094
-12.356290818752983,-1.975655431
-8.171190797779884,2.968164794
-5.759978500143197,-2.02247191
-1.963409272463847,1.966292135
-12.014259222619001,0.95505618
-3.979392638863625,-3.88576779
-0.9900846842206337,-0.018726592
-14.713840770090712,-2.088014981
-10.336149779027796,-3.014981273
-18.742285641774373,-1.104868914
-2.211866732576932,-0.992509363
-11.323677467185194,0.964419476
-11.034351369863744,-0.028089888
-11.537066109719294,-2.031835206
-4.7463139000779115,-2.050561798
-18.112931383291425,-1.039325843
-8.693972878323702,-1.048689139
-16.243329705117013,1.985018727
-12.403145320774327,-2.893258427
-13.840215562176715,2.93071161
-11.50465110304976,-2.041198502
-6.993558574783966,-1.928838951
-13.167607662583526,-1.011235955
-2.7829762018168562,3.895131086
-16.519440092702414,0.037453184
-6.57933374285094,-3.033707865
-17.35133761107657,-1.86329588
1.2528690177652633,-0.102996255
-4.245049949232363,2.837078652
-8.240519161960226,-1.91011236
-14.044616783747985,0.046816479
-12.65997665706679,-1.011235955
