n200,valence
-13.239032932246493,-0.046816479
-12.19481802208749,2.949438202
-17.680876300523874,2.968164794
-16.138450028129217,-1.132958801
-12.626165105505388,-0.037453184
-16.59329776653823,1.029962547
-1.4881872764111157,-0.973782772
-22.098684036184142,-2.855805243
-15.13373833671292,2.893258427
-9.487475953887468,3.024344569
-5.886292462531858,3.857677903
-10.09555768202152,-2.031835206
-10.11239987938208,3.848314607
-9.186998612666732,1.020599251
-6.22271385829695,2.02247191
-21.885193939968804,2.013108614
-7.035295034337235,2.902621723
-11.768814705261324,3.923220974
-13.108110420076557,2.911985019
-16.141684636400804,-3.904494382
-16.38831403539229,3.895131086
-19.088661390607108,1.132958801
-10.060972449307659,-0.084269663
-17.135711003181502,0.074906367
-17.744808956623235,3.005617978
-10.939864494723842,2.949438202
-16.925625231655136,0.037453184
-4.2946518379761685,2.874531835
-16.08238991317518,-1.048689139
-13.106724024876883,3.895131086
-11.777675076187334,-2.013108614
-11.472550908431659,-1.938202247
-4.964550688153023,0.917602996
-12.873374332886135,-1.994382022
-1.6768987968334546,2.97752809
-4.367447436952093,0.936329588
-7.894204606456489,1.058052434
-9.455252592584781,-0.084269663
1.9046808200538814,-1.048689139
-5.63612593045629,3.913857678
-6.9317961231649825,0.046816479
-4.150614456591392,0.056179775
-15.306363939626593,-2.968164794
-16.64339413668645,-0.056179775
-16.509132055727502,3.93258427
-12.487050928040475,2.940074906
-8.194304982844642,1.975655431
-2.824730940541028,2.93071161
-15.46884856186897,-1.039325843
-9.435114347364788,-1.039325843
-14.59017368712903,-2.088014981
-8.727474469054776,-3.005617978
0.899111872487171,-2.106741573
-3.993465476046363,-1.020599251
-9.924786028573438,2.958801498
-2.9253135631184883,0.018726592
-12.473324709610619,-0.046816479
-13.297243598521018,-0.028089888
-4.597379095832674,3.033707865
-28.834061851478094,3.913857678
-5.549144054658394,-1.900749064
-9.479780960250197,2.078651685
-13.273516324646641,-2.958801498
-6.912213795385831,3.941947566
-11.165332947132388,3.867041199
-9.153205960917978,1.020599251
-6.3260839868583165,-0.037453184
-7.516762454519773,2.986891386
-4.683911929315758,2.958801498
-20.742692997101912,-2.958801498
-21.005113937562125,0.018726592
-15.069200980311646,-0.028089888
-13.077014968974837,0.9082397
-11.98298690135827,0.992509363
-18.622948621781592,-1.058052434
-8.802958951649204,1.891385768
-13.161111580314063,1.020599251
-6.190364519987626,2.02247191
-13.060634916446938,2.911985019
-11.001303452995879,-0.065543071
-9.885934198462415,3.848314607
-8.896036008291896,-0.102996255
-8.59436984156531,-0.046816479
-12.303204283122708,2.921348315
-4.394113110489037,2.958801498
-21.507977085386024,2.06928839
-7.551876117457701,2.940074906
-11.384938821940967,-0.093632959
-16.467096683820294,2.949438202
-18.875709158768828,2.003745318
-2.2433106507816434,-1.06741573
-2.652976640409511,-0.046816479
-5.62591964251551,-0.028089888
-9.195358466030621,3.904494382
-6.5092438701031385,2.041198502
-5.910416055468207,2.078651685
-11.600486836677055,1.947565543
-13.794937348166386,2.116104869
-9.273869179557167,0.121722846
-17.472242837123662,-0.084269663
-17.93824174491296,-3.053284419
-18.68857634033451,3.119087963
-6.797994823910597,0.039482126
-4.263656387541954,-2.197838354
-9.058724436827085,2.316284732
-21.353960531506498,0.236892757
-21.192467213855544,-4.0
-0.9871480393324811,-1.473999375
-7.751793815678371,1.263428036
-9.152985006634527,-0.381660552
-13.827303771628895,3.35598072
-11.155078331852572,-3.842926942
-4.13494632971508,0.842285357
-15.701766533830254,1.184463783
0.9479979288014263,0.908088901
-22.395544655831795,-0.394821261
-22.029603592187467,1.039695988
-14.34413546335799,-0.078964252
-3.411274542383204,-1.42135654
-20.075552888250932,-1.408195831
-5.142356455872423,2.855873789
-6.685469113234762,-0.10528567
-20.28044618565741,-0.723838979
-14.78947323031472,-4.0
-11.979831389966142,4.0
-16.98404385486037,0.750160396
-26.57286217372315,-2.855873789
-5.0575580776801115,0.71067827
6.363265867897415,-3.382302137
-5.573471470268513,1.289749453
-10.726532162952905,-4.0
-10.423141240678895,-1.816177801
-15.456370401228527,0.223732048
-12.117405927690468,1.342392288
-18.326799906824196,1.158142366
-11.872197526477452,-1.868820636
-5.6409321100289835,2.869034498
2.195578103406422,-2.184677645
-15.28954467932848,-1.684570714
-13.25439300073477,1.342392288
-25.154190271543417,-2.43473111
-1.276957354290262,2.13203481
1.4323203655829213,-3.000641585
-9.983764385792202,-0.092124961
-11.374286195521744,0.592231892
-16.211960931342624,4.0
-6.44557582712992,-0.513267639
-11.222232853386604,1.513481501
-11.06193970774716,-2.579498906
-20.222575949717513,-2.092552684
-15.84060103984203,-3.184891506
-11.892586610157455,-3.487587807
-5.56585236889139,-2.724266702
-6.277464502920809,-3.829766233
-11.647022382356532,1.500320792
-13.130594778691378,-1.000213862
-12.470560637936021,-2.02674914
-25.972223204739887,-1.947784888
1.4056393429390415,-1.697731423
0.5029180217171645,4.0
-12.221456079231487,-1.500320792
-14.979537289415276,1.803017092
-11.79990223192655,-2.934838041
-7.002417494603832,-0.802803231
-3.6036909023735126,0.881767483
-14.58567871071799,0.236892757
-22.56774732052476,0.10528567
-13.659019788985173,0.329017718
-7.926304715520937,2.553177489
-7.517618774632537,-0.829124648
-10.733921522274409,-2.697945284
-11.74174196192611,0.368499844
-14.676733628843914,-1.381874414
-11.641752951681731,2.566338197
