n200,valence
-10.621901671793456,-0.056179775
-9.716840513546288,2.940074906
-10.159628727103044,0.945692884
-7.224318410575538,-0.168539326
-9.173990485204692,2.940074906
-14.364947618808875,-1.994382022
-7.664806125080857,1.86329588
-13.143677923132268,2.949438202
-6.546086662065644,0.964419476
-18.206385538735493,-0.149812734
-16.677299219100117,2.078651685
-13.489171990531442,-0.009363296
-6.705008703046172,2.996254682
-12.373963569096457,1.11423221
-8.021004907784498,1.956928839
-7.874620427986702,0.028089888
-11.535422468380919,-0.093632959
-6.11080450206538,2.013108614
-17.52474802359126,-1.882022472
-5.438450929377329,1.985018727
-18.620569669528674,-0.065543071
-6.106151860476487,-1.039325843
-11.386550133341501,-1.058052434
-3.3740758881941173,1.310861423
-16.942220445631072,-0.065543071
-14.87242471331723,2.883895131
-9.11111956903084,2.003745318
-16.95838832060518,-2.06928839
-8.69102708374577,0.889513109
-9.363435715825327,2.846441948
-9.336277354217303,-1.039325843
-7.458809101063061,-0.964419476
-12.911792038301797,-0.140449438
-13.578504041420626,-0.084269663
-1.3389868164892453,-0.018726592
-18.008594788054157,1.928838951
-10.125447110769924,3.857677903
-1.76865234597396,2.06928839
-9.309393157770613,0.056179775
-3.9597768230149173,3.005617978
-2.9281027266853568,-0.065543071
-18.955088483906952,3.080524345
-4.407786139501362,0.964419476
3.134482038706693,-2.088014981
-23.296563748016048,0.983146067
-6.190664419231574,2.93071161
-1.7447715470610077,-1.985018727
-17.44775074127798,-1.020599251
-15.681654159438075,2.088014981
-17.54010872129047,0.964419476
-2.392096657108013,1.039325843
-15.553087283739384,1.807116105
-13.169897852350243,2.893258427
4.868976185359653,-0.074906367
-10.32906996402912,0.009363296
-8.966650963707641,-0.065543071
-10.686253296672879,-0.074906367
-9.297941152321023,2.968164794
-10.750343601057367,-0.065543071
-5.565286159915921,1.975655431
-13.217049955776508,0.936329588
-23.825888874451948,3.080524345
-4.934818808461621,1.029962547
-10.337121157114165,-0.018726592
-5.649511582614487,-0.009363296
-5.942934489510782,-1.956928839
