gender,blackwhite,blurring,circularblurringext,circularblurringint,edges,original
f,0.4088014981,1.14850187265,1.220318352,0.64410112358,0.63061797753,0.48033707864
m,1.08146091702,0.6356743302000001,0.75908265852,0.77827740079,0.49859570567,0.82228489853
f,-1.0474719100999998,-0.13295880150999997,-0.23164794006999997,-0.07247191018,0.44119850187,-1.03642322093
f,-0.7790259200699999,-0.7902618407600001,-0.86310833704,-0.80196602638,-0.5907300198900001,-0.6884828631700001
m,1.03438202245,-0.38174157304,0.13277153552,0.55601123594,1.03024344568,0.8440449438400001
f,-0.50928520897,-0.39797127675,-0.22822379783000002,-1.28444239718,-0.38981163736,-0.47917284949
m,-0.8657755980899999,-0.49628518094,-0.6297014724800001,-0.6539208724700001,-0.71207407678,-0.52955092777
m,0.49260299623000003,-0.02265917598,0.033239700350000005,0.32940074906,-0.18445692882,0.52088014985
f,-0.80122394592,-0.48128711734,-0.84096928621,-0.5798608255300001,-0.7037030944200001,-0.72923486928
m,0.29984409751,0.16965602919000003,0.21779694860999999,0.20892622019,-0.24004772633000002,0.40952511915
f,0.74513108617,0.026217228439999997,0.22780898873000002,0.13764044949,-0.059082396960000005,0.8155430711299999
f,-0.77590511858,-0.5907615481,-0.71011235953,-0.63358302122,-0.8544818976199999,-0.7695380774199999
f,-0.45680399504999997,-0.31910112361,-0.47203495625999997,-0.29900124846,-0.46104868914,-0.42634207242
