n200,valence
-10.031071812646507,-1.086142322
-6.429506228053225,-1.048689139
-7.614850796495889,-2.911985019
-13.00741421776334,-1.132958801
-21.658019490017516,-2.06928839
-18.58547995599518,-2.097378277
-4.777934252985395,-2.968164794
-11.321857290827896,-0.945692884
-13.002030097822137,-1.928838951
-17.36552595560876,-2.144194757
-5.186304729947636,-2.125468165
-3.034557136564368,-2.059925094
-10.82135537292283,-1.048689139
-8.179768458880043,-2.958801498
-20.804187435860637,-2.968164794
-4.5764449167009635,-2.031835206
-7.394869872790373,-0.95505618
-14.571260468193698,-2.968164794
-12.617029962456842,-1.217228464
-3.2774493693713973,-3.033707865
-16.168787003007786,-2.050561798
-9.673123573441497,-1.966292135
-22.655528758212416,-1.029962547
-17.471611951634856,-1.104868914
-4.5320140703445535,-3.033707865
-6.405921573615103,-1.179775281
-15.790786877630978,-2.088014981
-14.822235264462256,-1.985018727
-8.00371362981423,-1.966292135
-8.651760670758069,-2.02247191
-5.415107806369173,-2.883895131
-5.352202665968259,-1.189138577
4.574183074854951,-2.921348315
-4.936597906708542,-2.088014981
-7.568223997014522,-2.144194757
-18.536263482237064,-2.949438202
-11.734249458554357,-2.106741573
-12.613761220159583,-3.941947566
-15.755488595205389,-1.956928839
-5.47268710387412,-2.106741573
-5.975906151162533,-2.031835206
-3.0660263449252114,-1.91011236
-1.6395360832783428,-3.071161049
-11.108200242595272,-0.926966292
-14.873377198358485,-1.947565543
-3.719071496366019,-2.125468165
-10.039396073382475,-1.919475655
-6.475987479978875,-1.975655431
-3.9175262076559396,0.870786517
-9.199438551598194,-0.992509363
-10.165880534083172,-3.88576779
-5.247191318404749,0.889513109
-12.029376742323397,-2.031835206
-6.553691927968837,-3.014981273
-12.022411957277681,-2.02247191
-12.116650518937659,-2.041198502
-7.854465243161156,-2.940074906
-3.034876839640451,-2.06928839
-15.034991428684277,-1.985018727
-6.731404396803331,-1.985018727
-9.956130461870906,-1.928838951
-6.493825467724844,-3.146067416
-9.41144988272398,-2.003745318
-10.996994308078046,-2.134831461
-6.51940976483205,-3.071161049
-8.270359397237113,0.898876404
-7.345936202802214,-2.013108614
0.24743602358802735,-2.003745318
-1.3666412909419696,-2.003745318
-1.8387662395458628,-1.985018727
-6.461333811704288,-1.029962547
2.522199153259892,-1.938202247
-18.19955972208001,-2.93071161
-17.900793661855683,-2.162921348
-10.584331752596853,-1.919475655
-9.972530754486023,0.018726592
-7.862174928522011,-0.95505618
-4.087484218567195,-1.947565543
-2.7946153731792993,-1.020599251
-9.130633806150858,-2.013108614
-15.206414225394784,-1.994382022
-13.938731470117544,-3.043071161
-23.388354361261715,-2.996254682
0.44798932399608743,-1.123595506
-19.19899817673239,-2.088014981
-3.2682529011504102,-2.02247191
-10.937933826673566,-0.992509363
0.949497748473247,-2.097378277
-6.5975377149348695,-3.876404494
-7.450322256403834,-2.958801498
-9.043774526226827,-2.93071161
-7.045292851452917,-2.02247191
-7.694165239482065,-2.041198502
-11.846271743926286,-2.06928839
-11.41318016896595,-1.985018727
-19.12537405838864,-2.041198502
-8.917705980765733,-2.125468165
-15.040447898986075,-1.235955056
-13.774860062998103,-1.058052434
-13.64003794745039,0.644874727
-5.28501309405614,-0.486946222
-7.696616615400565,1.447677957
-19.847168829704955,-2.066231267
-21.77667823712405,1.789856384
2.2970282063392458,0.026321417
-11.304008518141389,-1.855659927
-9.079161730011192,-2.750588119
-11.143418816126132,-0.934410318
-5.56365748479059,0.81596394
-11.323287600616656,-0.513267639
-10.849332170139625,-2.289963315
-15.008806964375937,-1.066017405
-14.849924804893126,-0.960731735
-19.147728011626747,-1.473999375
