n200,valence
-8.528584765906018,-1.956928839
-10.031071812646507,-1.086142322
-6.429506228053225,-1.048689139
-13.104091444082586,1.900749064
-8.445147629299452,-1.086142322
-1.2062944842104888,-1.882022472
-5.819395500362068,-2.02247191
-14.840189154521346,-2.02247191
-16.439122225949344,-1.048689139
-7.614850796495889,-2.911985019
-5.150755962593428,-0.065543071
-13.00741421776334,-1.132958801
-4.0822788822058245,-2.125468165
-8.263555173492703,0.046816479
-4.8080794712685435,-1.947565543
-11.05297501051585,-0.95505618
-11.394270970596105,-2.93071161
-9.71236696479489,-1.123595506
-21.658019490017516,-2.06928839
-18.58547995599518,-2.097378277
-14.231700852278665,3.951310861
-16.4063726508701,-1.039325843
-14.389687139325893,-2.893258427
-4.777934252985395,-2.968164794
-10.696326339733524,-1.048689139
-10.07517026271959,-1.039325843
-11.321857290827896,-0.945692884
-14.36831985985133,-2.02247191
-13.002030097822137,-1.928838951
-17.36552595560876,-2.144194757
-9.91099399553737,-0.018726592
-7.779661134445042,-1.058052434
-5.186304729947636,-2.125468165
-3.9518431991478855,-1.020599251
-5.188985388863,-2.968164794
-7.63820891890126,-3.052434457
-19.997476563026577,-2.18164794
-2.668541287649983,-2.883895131
-3.034557136564368,-2.059925094
-9.921342132413455,-1.985018727
-7.743061027393112,2.106741573
-10.82135537292283,-1.048689139
-1.6506938075404194,-2.874531835
-8.179768458880043,-2.958801498
-20.804187435860637,-2.968164794
-4.5764449167009635,-2.031835206
-7.394869872790373,-0.95505618
-3.980178869469557,-1.956928839
-14.571260468193698,-2.968164794
-1.468635975405119,-3.033707865
-12.561418701628643,-1.928838951
-0.8461299010067747,-3.005617978
-12.617029962456842,-1.217228464
-4.295597354509116,0.9082397
-12.243860174517293,-2.003745318
-11.570019134233732,-2.078651685
-4.634780641694588,-1.975655431
-8.855159181999195,-2.949438202
-13.087520755700826,-1.956928839
-5.899386815688016,1.985018727
-10.499354205191445,-2.865168539
-3.2774493693713973,-3.033707865
-17.00556578812054,-2.06928839
-4.617981561858834,-2.013108614
-16.168787003007786,-2.050561798
-9.673123573441497,-1.966292135
-4.029158909395879,-1.048689139
-22.655528758212416,-1.029962547
-13.419801690678256,-2.106741573
-17.471611951634856,-1.104868914
-12.243969271540962,-1.891385768
-5.981225026125453,-3.117977528
-4.5320140703445535,-3.033707865
-6.405921573615103,-1.179775281
-6.153968539509912,-1.132958801
-2.4488921695204855,-2.088014981
-15.790786877630978,-2.088014981
-14.822235264462256,-1.985018727
-8.00371362981423,-1.966292135
-8.651760670758069,-2.02247191
-5.415107806369173,-2.883895131
-13.995302802921772,-2.078651685
-8.121724129550925,-0.945692884
-14.488981807647018,-2.125468165
-5.352202665968259,-1.189138577
-8.75766924302715,-1.956928839
2.381911598100218,-2.031835206
-4.877444676513517,-2.088014981
-8.171963584900412,0.898876404
-17.097275581379442,-1.039325843
4.574183074854951,-2.921348315
-25.626226130115413,-2.041198502
-10.424554787435616,-3.108614232
-3.093808384723587,-2.106741573
-4.936597906708542,-2.088014981
-10.070144193552668,-3.033707865
-10.556451339052169,-1.076779026
-10.912558233399231,-2.106741573
-7.568223997014522,-2.144194757
-6.403143084764347,-2.088014981
-18.840581349003557,0.898876404
-9.033331820911593,-0.102996255
-18.536263482237064,-2.949438202
-11.734249458554357,-2.106741573
-12.613761220159583,-3.941947566
-2.1777242668503933,-2.06928839
-7.331934050365117,2.846441948
-6.027578978783809,-0.102996255
-11.774415902518907,-2.013108614
-0.08579437637161652,-2.996254682
-11.193393709654675,-2.059925094
-12.356290818752983,-1.975655431
-10.944855530471582,-2.097378277
-5.73920556281845,-2.031835206
-15.755488595205389,-1.956928839
-8.171190797779884,2.968164794
-7.08982166497713,-1.985018727
-5.759978500143197,-2.02247191
-5.47268710387412,-2.106741573
-11.610039143111019,-2.116104869
-5.975906151162533,-2.031835206
-0.5489919866103496,-2.97752809
-1.963409272463847,1.966292135
-3.0660263449252114,-1.91011236
-12.014259222619001,0.95505618
-3.979392638863625,-3.88576779
-0.9900846842206337,-0.018726592
-14.465865908389391,-2.050561798
-14.713840770090712,-2.088014981
-1.6395360832783428,-3.071161049
-10.336149779027796,-3.014981273
-18.742285641774373,-1.104868914
-6.209215688990079,-1.985018727
