code,gender,blackwhite,blurring,circularblurringext,circularblurringint,edges,original
riri06,f,11.596619931594702,9.77145910167787,10.259227662528442,8.611241262085544,6.9063488414062695,10.31986621173298
moob25,m,7.616889275732596,6.96766748357992,7.586667061234208,5.42717293224363,6.497728162737192,8.47993368064433
mama13,f,13.671928976263482,11.875543138720847,13.11944428957371,11.427480805548402,11.649037216912284,14.268096106634038
jomo20,f,7.579561105060752,6.766353422417285,7.5184374990563985,5.8932488010121595,6.844511431176041,7.203909727738118
viwi30,f,12.378659112670167,12.532147749001389,12.838512756885128,11.403743997848148,12.956936707869882,13.375289658182469
thko03,m,10.985627272798098,12.051836607784672,11.450514813485768,11.844460086832665,14.086664719100048,11.851987565774953
mile27,m,11.554984656632541,10.648715755235019,10.355839566003585,9.835852241538165,11.938621003399037,10.063906942397487
vamo24,f,6.81442073937542,6.6380100352764195,6.918937474719929,6.495335712293166,7.740887069045857,6.467957695750159
keaz01,m,9.612424767272802,8.880701572453376,8.657606537296651,8.42297584477843,10.034555253721605,9.578012025846126
ervi22,m,13.221862534944663,11.799723039092209,11.218122543377833,11.358428334688083,11.97074847151489,13.19851742383667
jemc16,f,10.129317182057452,7.613561693421088,7.4322580848031805,8.038473342948375,10.827720085671439,8.50159037664779
vasa28,f,7.166443340173073,6.259075275038424,6.82714285154958,5.961717921327023,6.283049042790608,7.193612491663873
brfr09,f,4.32052085620675,3.2922134133077336,3.3353053202574143,3.2336736421926817,4.847390196001305,4.121256587845696
